id,ccr_codigo,fermentacao
295,7973,1
123,7988,1
289,7098,1
228,7765,1
132,7818,1
146,7358,1
231,7191,1
283,6702,1
242,7719,1
222,7961,1
212,7558,1
139,6893,1
299,6745,1
190,6950,1
373,7748,1
262,7967,1
107,7271,1
158,7769,1
247,6607,1
261,7726,1
196,7556,1
142,7865,1
245,6585,1
280,7806,1
221,7958,1
151,7543,1
157,6577,1
126,7539,1
224,7844,1
230,6996,1
329,7882,1
104,7777,1
135,6717,1
94,7391,1
365,6608,1
183,6881,1
337,7236,1
236,7861,1
287,6792,1
100,7804,1
93,7390,1
187,7281,1
186,6978,1
258,7921,1
259,7724,1
237,7871,1
91,7195,1
206,7989,1
305,7734,1
137,6888,1
324,7738,1
120,6889,1
320,7272,1
314,6754,1
332,6706,1
250,6793,1
130,7936,1
378,7892,1
252,6797,1
173,7946,1
86,6650,1
185,7836,1
229,7951,1
138,6890,1
180,7941,1
101,6556,1
257,7365,1
264,7970,1
134,6716,1
256,7355,1
177,7198,1
82,6555,1
235,7860,1
111,7823,1
208,7021,1
176,7196,1
161,7156,1
143,7031,1
175,7366,1
379,7893,1
233,7589,1
179,7551,1
171,7766,1
160,6800,1
218,7857,1
172,7782,1
251,6796,1
163,7356,1
249,6782,1
297,6591,1
210,7364,1
188,7363,1
203,7957,1
323,7737,1
89,7945,1
118,6545,1
253,6867,1
144,7842,1
153,7849,1
557,7528,1
113,7825,1
298,6720,1
181,6575,1
98,7802,1
140,7052,1
189,7381,1
195,7555,1
169,8024,1
199,7852,1
368,7160,1
241,7353,1
117,6515,1
85,6648,1
215,7854,1
238,7963,1
109,7536,1
200,7853,1
182,6725,1
213,7587,1
312,7910,1
149,7541,1
103,7774,1
272,6705,1
95,7392,1
193,7553,1
334,6742,1
232,7275,1
114,7826,1
364,7949,1
377,7891,1
87,7799,1
304,7733,1
112,7824,1
227,7053,1
248,6737,1
366,6609,1
234,7590,1
145,7242,1
116,7935,1
164,7547,1
207,7006,1
204,6594,1
192,7552,1
141,7862,1
263,7969,1
99,7803,1
325,7980,1
131,8023,1
148,7540,1
209,7189,1
124,7188,1
477,6567,1
184,7835,1
174,7959,1
121,6944,1
226,6887,1
84,6948,1
129,7848,1
255,7254,1
240,6794,1
166,7549,1
336,6849,1
246,6606,1
217,7856,1
162,7266,1
167,7939,1
219,7858,1
159,7776,1
211,7382,1
270,6644,1
216,7855,1
290,7153,1
202,7956,1
115,7934,1
90,7263,1
284,6746,1
96,7393,1
317,6872,1
122,7779,1
83,6817,1
269,6568,1
286,6790,1
154,7850,1
294,7730,1
102,6891,1
150,7542,1
194,7554,1
152,7546,1
191,6957,1
321,7359,1
168,7940,1
239,6584,1
225,6795,1
223,6582,1
335,6837,1
214,7588,1
198,7851,1
243,7720,1
136,6723,1
